"","i","V1","V2","V3","V4","V5","Coefficient_1","Coefficient_2","Coefficient_3","Coefficient_4","Coefficient_5","p-value_1","p-value_2","p-value_3","p-value_4","p-value_5","Residual standard error","Adjusted R-squared","AIC","ME_Train","RMSE_Train","MAE_Train","MPE_Train","MAPE_Train","MASE_Train","ME_Test","RMSE_Test","MAE_Test","MPE_Test","MAPE_Test","VIF_1","VIF_2","VIF_3","VIF_4","DW","BG","BP","Box","Shapiro","Cointegration","Pass.DW","Pass.BG","Pass.BP","Pass.Box","Pass.Shapiro","Pass.Cointegration","V2_basename","V3_basename","V4_basename","V5_basename","duplicates"
"BP9",10,"(Intercept)","CPI.All.Item.ln.diff","PHP.USD.rate.ln.diff_3","CCI.asinh.diff_3","Gross.Capital.Formation.ln.diff_3.lag5",0.0506173374029989,-8.45955866359678,-2.09466468555647,-0.0251128332083745,-0.308333966269353,0.00000350538540542603,0.000536299999465067,0.00000000546719896898093,0.00000287479486908764,0.0000000892899432752919,0.0755737637557385,0.54158766514473,-216.566765869035,-0.0000000000000000000471515007304894,0.073579381234016,0.0553556775188307,-Inf,Inf,0.80390826791081,-0.0788143045037231,0.114349761770339,0.0933832361218135,195.966971327507,216.778929872185,1.10603995621706,1.07443799205406,1.01782046714783,1.03444529672429,0.0000128485458709741,0.000000349643900938327,0.150465131179624,0.000133646083134376,0.00400713855311097,0.0435225561450055,"Not","Not","Pass","Not","Not","Pass","CPI.All.Item.ln.diff","PHP.USD.rate.ln.diff_3","CCI.asinh.diff_3","Gross.Capital.Formation.ln.diff_3",0
"BP15",16,"(Intercept)","CPI.All.Item.ln.diff","PHP.USD.rate.ln.diff_3","Gross.Capital.Formation.ln.diff_3.lag5","CCI.asinh.diff_3.lag1",0.0521341020231293,-9.42131211727338,-1.90240349699456,-0.317212569307914,-0.0246092864353191,0.00000241336548508186,0.000171994508081316,0.0000000934209227332652,0.0000000556497416973267,0.0000059552489832993,0.07615868878384,0.534464174243687,-215.086447587225,0.00000000000000000113841228110978,0.0741488701610873,0.0561938757957958,-Inf,Inf,0.816081084778088,-0.0780073888475039,0.112706033497755,0.0921189591701057,189.83139079078,209.901508533097,1.13329021739682,1.07539908292935,1.0391118650173,1.03725517298235,0.00000014039074485591,0.000000473630490677117,0.146850714557588,0.00000379072525835689,0.00386672960794469,0.04162807320194,"Not","Not","Pass","Not","Not","Pass","CPI.All.Item.ln.diff","PHP.USD.rate.ln.diff_3","Gross.Capital.Formation.ln.diff_3","CCI.asinh.diff_3",0
"BP223",224,"(Intercept)","PHP.USD.rate.ln.diff_3","CCI.asinh.diff_3","Gross.Capital.Formation.ln.diff_3.lag5","Inf.Housing.asinh.diff_3.lag7",0.0288092928222868,-2.41034813543418,-0.0214098604306499,-0.260364316781303,-0.748756587732369,0.00120506321662166,0.000000000166001328507178,0.000207852339775119,0.0000137081098182461,0.22556251321486,0.080094398974903,0.485105224376103,-205.412191109855,0.00000000000000000363207727782644,0.077980717434313,0.0581221210620152,Inf,Inf,0.84408421619214,-0.0861700116274554,0.12266074601822,0.0971913345742509,206.771037646559,223.017180803945,1.01364656903628,1.0980638642252,1.04997128072091,1.13986455360128,0.0000000466403882068683,0.00000000447362512719656,0.0891656042634738,0.0000022210698783498,0.00190535057453347,0.049578537498272,"Not","Not","Pass","Not","Not","Pass","PHP.USD.rate.ln.diff_3","CCI.asinh.diff_3","Gross.Capital.Formation.ln.diff_3","Inf.Housing.asinh.diff_3",0
"BP277",278,"(Intercept)","GDP.Current.ln.diff_3","PHP.USD.rate.ln.diff_3","CCI.asinh.diff_3","Household.Consumption.ln.diff_3.lag4",0.0386287401118703,-0.48447948241372,-2.75033472091862,-0.0205654379785989,-0.463873146654215,0.0000517658029204027,0.0000217266460053124,0.00000000000257361095475012,0.000248957442113885,0.0000801307875229921,0.0804151546214881,0.480972947727999,-204.644820386513,-0.00000000000000000275306883681329,0.0782930083780237,0.0570652878902602,-Inf,Inf,0.828736252574727,-0.0776127243156278,0.120679661648263,0.0939229553712338,181.31090387374,204.170410551336,1.33485753365862,1.03932773675849,1.03243547460613,1.31087540771344,0.0000000000704921726688534,0.00000000361616454129541,0.153095603794833,0.0000000139490409223342,0.000130039880823957,0.0451385525218079,"Not","Not","Pass","Not","Not","Pass","GDP.Current.ln.diff_3","PHP.USD.rate.ln.diff_3","CCI.asinh.diff_3","Household.Consumption.ln.diff_3",0
"BP396",397,"(Intercept)","PHP.USD.rate.ln.diff_3","RPI.Goods.ln.diff_3","CCI.asinh.diff_3","Government.Expenditure.ln.diff_3.lag6",0.0626698872539105,-2.22943732149164,-9.81616504540221,-0.0253443912596244,-0.168136828244398,0.00000177718440976873,0.0000000053746966194841,0.0000807344756696602,0.0000106043226349315,0.00398619922642456,0.0809251148343972,0.474369157589768,-203.431078928475,-0.00000000000000000572297810812368,0.0787895108023451,0.0558105793581508,-Inf,Inf,0.810514624586561,-0.0770695763843907,0.0950629236701164,0.0820873747195634,157.555587795418,164.707049676139,1.06025434671036,1.08981832809314,1.03528623267944,1.01899893153742,0.000000000134250777818024,0.00000000129117908014803,0.519521443642485,0.0000000318299077095574,0.000000214436320805274,0.0374169342053775,"Not","Not","Pass","Not","Not","Pass","PHP.USD.rate.ln.diff_3","RPI.Goods.ln.diff_3","CCI.asinh.diff_3","Government.Expenditure.ln.diff_3",0
"BP444",445,"(Intercept)","GDP.Current.ln.diff_3","PHP.USD.rate.ln.diff_3","Government.Expenditure.ln.diff_3","GDP.Constant.ln.diff_3.lag3",0.0543549075380082,-0.834106191704135,-2.34653346469921,-0.347169885637035,-0.910300397550652,0.000000494816363913615,0.0000000367275717627402,0.00000000152490511834916,0.00000576506793636835,0.00000732869001079493,0.0811302243492646,0.471701295699776,-202.945059176437,0.00000000000000000236555126344445,0.0789892075018231,0.0586544959035394,-Inf,Inf,0.851815682157549,-0.0772024921148472,0.108187278075943,0.0867419635870953,166.582767849237,181.31894261101,2.15410255150078,1.07447447827633,1.58843446896844,2.62180420930695,0.0000000000000030360887426251,0.000000000123169521961919,0.114199998970436,0.0000000000213395967563201,0.0200645201983296,0.0469153973404056,"Not","Not","Pass","Not","Not","Pass","GDP.Current.ln.diff_3","PHP.USD.rate.ln.diff_3","Government.Expenditure.ln.diff_3","GDP.Constant.ln.diff_3",0
"BP521",522,"(Intercept)","PHP.USD.rate.ln.diff_3","GDP.Current.ln.diff_3.lag1","Gross.Capital.Formation.ln.diff_3.lag5","Inf.Housing.asinh.diff_3.lag7",0.0342563566855643,-2.26149068026484,-0.338306415956132,-0.29774275869324,-1.36616455344352,0.00023356068387254,0.00000000219098291817865,0.0010684140158856,0.00000296640078386552,0.0247239848356562,0.0814569404155994,0.467437749817731,-202.173416848318,0.000000000000000000508290354431518,0.0793073015705243,0.056168048241103,Inf,Inf,0.815706001576363,-0.0893368663870208,0.120768521168677,0.101016185011428,238.42600533306,255.37279455168,1.01375126353463,1.08771016640128,1.1303733765856,1.04741485386302,0.0000000208208831702725,0.000000000868577467437805,0.0799957944440382,0.00000055209908234044,0.00063209910152701,0.0359581909875923,"Not","Not","Pass","Not","Not","Pass","PHP.USD.rate.ln.diff_3","GDP.Current.ln.diff_3","Gross.Capital.Formation.ln.diff_3","Inf.Housing.asinh.diff_3",0
"BP574",575,"(Intercept)","PHP.USD.rate.ln.diff_3","GDP.Constant.ln.diff_3.lag1","Gross.Capital.Formation.ln.diff_3.lag5","Inf.Housing.asinh.diff_3.lag7",0.0334722462299148,-2.27426365936755,-0.410170511610653,-0.295042697128325,-1.44112741650906,0.000305788490254335,0.00000000190836916847115,0.00125964572362362,0.00000349184624951067,0.0181553251979209,0.0815940046765054,0.465644000533844,-201.85061780808,-0.00000000000000000527997987670968,0.0794407487220961,0.0571136823551509,Inf,Inf,0.829439065947998,-0.0907733527683501,0.122410668544499,0.101690766988963,244.229013766682,260.105227018132,1.01256591520082,1.08454609096469,1.12433279015681,1.04648774681688,0.000000024730921071469,0.000000000776213552421414,0.0705911889765058,0.000000635791766012694,0.00122704549322394,0.035327699557126,"Not","Not","Pass","Not","Not","Pass","PHP.USD.rate.ln.diff_3","GDP.Constant.ln.diff_3","Gross.Capital.Formation.ln.diff_3","Inf.Housing.asinh.diff_3",0
"BP753",754,"(Intercept)","GDP.Current.ln.diff_3","PHP.USD.rate.ln.diff_3","RPI.Goods.ln.diff_3","CCI.asinh.diff_3",0.0592964387549255,-0.24258223294312,-2.25322296760003,-8.68020908646169,-0.0236476667439653,0.000005666616659871,0.0145945050662858,0.00000000628880038581789,0.000508197766728218,0.0000537852776609341,0.0819713805873142,0.460689729443828,-200.964656474355,0.000000000000000003655300097797,0.0798081657280782,0.0551314090664442,-Inf,Inf,0.800651307266733,-0.0744088699662398,0.0933058942137786,0.0794561739873336,166.940607913733,174.040596453879,1.04221317925245,1.06699734973059,1.08914777294368,1.06341439211261,0.000000000262034516425973,0.00000000127954178356973,0.43087162448944,0.0000000442211960383077,0.0000000942887933029775,0.0334875275294181,"Not","Not","Pass","Not","Not","Pass","GDP.Current.ln.diff_3","PHP.USD.rate.ln.diff_3","RPI.Goods.ln.diff_3","CCI.asinh.diff_3",0
"BP774",775,"(Intercept)","PHP.USD.rate.ln.diff_3","Household.Consumption.ln.diff_3.lag6","Unemployment.ln.diff_3.lag4","Inf.Housing.asinh.diff_3.lag7",0.0268279999753352,-2.01932734425261,-0.344196638359961,0.184388040906591,-2.29697164031378,0.00321990546329715,0.000000188097851490064,0.00103236697823925,0.0000252682223440342,0.000243072873742181,0.0820087968418321,0.4601972752336,-200.877037091272,-0.00000000000000000285781857795707,0.0798445945721467,0.0614814014291023,Inf,Inf,0.892869695521033,-0.0887783994556082,0.120920651479634,0.0939420750003771,214.306143749285,223.760355153847,1.10571197794952,1.02987916929422,1.16763432447948,1.0435794709296,0.00000000138048384092743,0.00000000411249251246022,0.172177161899913,0.000000113643630172966,0.0109930965916182,0.039712456358214,"Not","Not","Pass","Not","Not","Pass","PHP.USD.rate.ln.diff_3","Household.Consumption.ln.diff_3","Unemployment.ln.diff_3","Inf.Housing.asinh.diff_3",0
